Compressive strength of cement fce (MPa),Tensile strength of cement fct (MPa),Curing age (day),Dmax of crushed stone (mm),Stone powder content in sand (%),Fineness modulus of sand,W/B,"Water to cement ratio, mw/mc",Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
50.35049676,8.309271071,28,43.87039877,20,2.933439065,0.4,0.4,190,30,9,50.5,3.23
50.35049676,8.309271071,28,43.87039877,30,2.933439065,0.4,0.4,190,30,9,50.1,2.9
50.35049676,8.309271071,28,43.87039877,40,2.933439065,0.4,0.4,190,30,9,51.6,3.15
50.35049676,8.309271071,28,43.87039877,0,2.933439065,0.7,0.7,190,34,9,23.8,1.82
50.35049676,8.309271071,28,43.87039877,10,2.933439065,0.7,0.7,190,34,9,24.4,1.9
50.35049676,8.309271071,28,43.87039877,20,2.933439065,0.7,0.7,190,34,9,27.7,1.62
50.35049676,8.309271071,28,43.87039877,30,2.933439065,0.7,0.7,190,34,9,25.7,1.86
50.35049676,8.309271071,28,43.87039877,40,2.933439065,0.7,0.7,190,34,9,26.7,1.58
50.35049676,8.309271071,28,43.87039877,0,2.933439065,1,1,190,42,9,14.1,0.98
50.35049676,8.309271071,28,43.87039877,10,2.933439065,1,1,190,42,9,13,1.18
50.35049676,8.309271071,28,43.87039877,20,2.933439065,1,1,190,42,9,14.2,1.23
50.35049676,8.309271071,28,43.87039877,30,2.933439065,1,1,190,42,9,17.2,1.33
50.35049676,8.309271071,28,43.87039877,40,2.933439065,1,1,190,42,9,17.3,1.39
50.35049676,8.309271071,7,80,15,2.8,0.5,0.66,104,30,44,20.4,1.61
50.35049676,8.309271071,7,80,15,2.8,0.5,0.66,108,30,49,19.9,1.57
50.35049676,8.309271071,7,80,15,2.8,0.5,0.66,110,30,36,19.2,1.53
50.35049676,8.309271071,7,80,15,2.8,0.5,0.66,114,30,45,18.4,1.5
50.35049676,8.309271071,7,80,15,2.8,0.5,0.66,115,30,40,18.4,1.5
50.35049676,8.309271071,28,80,15,2.8,0.5,0.66,104,30,44,29.7,3.04
50.35049676,8.309271071,28,80,15,2.8,0.5,0.66,108,30,49,29.7,3.02
50.35049676,8.309271071,28,80,15,2.8,0.5,0.66,110,30,36,28.5,2.91
50.35049676,8.309271071,28,80,15,2.8,0.5,0.66,114,30,45,27.4,2.84
50.35049676,8.309271071,28,80,15,2.8,0.5,0.66,115,30,40,27.1,2.75
50.35049676,8.309271071,90,80,15,2.8,0.5,0.66,104,30,44,40.9,3.43
50.35049676,8.309271071,90,80,15,2.8,0.5,0.66,108,30,49,40.2,3.37
50.35049676,8.309271071,90,80,15,2.8,0.5,0.66,110,30,36,39.4,3.26
50.35049676,8.309271071,90,80,15,2.8,0.5,0.66,114,30,45,38.3,3.19
50.35049676,8.309271071,90,80,15,2.8,0.5,0.66,115,30,40,37.5,3.15
50.35049676,8.309271071,28,43.87039877,24,2.7,0.57,0.57,192,35,86,21.8,2.41
50.35049676,8.309271071,28,43.87039877,24,2.7,0.43,0.43,193,32,80,39.7,3.68
50.35049676,8.309271071,7,120,11.2,2.44,0.55,0.92,83.5,26.5,55,8.1,0.56
50.35049676,8.309271071,7,120,11.2,2.44,0.55,0.92,83.5,26.5,42,9.7,0.68
50.35049676,8.309271071,7,120,11.2,2.44,0.55,0.92,83.5,27,55,9.9,0.72
50.35049676,8.309271071,7,120,11.2,2.44,0.55,0.92,83.5,27,49,10.7,0.8
50.35049676,8.309271071,7,120,11.2,2.44,0.45,0.64,98,29.5,60,15.2,1.2
50.35049676,8.309271071,7,120,11.2,2.44,0.45,0.64,98,29.5,46,16.7,1.21
50.35049676,8.309271071,7,120,11.2,2.44,0.45,0.64,98,30,54,19.2,1.38
50.35049676,8.309271071,7,120,11.2,2.44,0.45,0.64,98,30,51,19.6,1.31
50.35049676,8.309271071,28,120,11.2,2.44,0.55,0.92,83.5,26.5,55,12.6,0.95
50.35049676,8.309271071,28,120,11.2,2.44,0.55,0.92,83.5,26.5,42,14.7,1.12
50.35049676,8.309271071,28,120,11.2,2.44,0.55,0.92,83.5,27,55,16.4,1.39
50.35049676,8.309271071,28,120,11.2,2.44,0.55,0.92,83.5,27,49,16.6,1.41
50.35049676,8.309271071,28,80,11.2,2.44,0.45,0.64,98,29.5,60,23.5,1.73
50.35049676,8.309271071,28,80,11.2,2.44,0.45,0.64,98,29.5,46,26.7,1.78
50.35049676,8.309271071,28,80,11.2,2.44,0.45,0.64,98,30,54,28.3,1.88
50.35049676,8.309271071,28,80,11.2,2.44,0.45,0.64,98,30,51,31.1,2.08
50.35049676,8.309271071,90,120,11.2,2.44,0.55,0.92,83.5,26.5,55,21.1,1.51
50.35049676,8.309271071,90,120,11.2,2.44,0.55,0.92,83.5,26.5,42,24.2,1.65
50.35049676,8.309271071,90,120,11.2,2.44,0.55,0.92,83.5,27,55,26.8,1.76
50.35049676,8.309271071,90,120,11.2,2.44,0.55,0.92,83.5,27,49,26.1,2.11
50.35049676,8.309271071,90,120,11.2,2.44,0.45,0.64,98,29.5,60,36.7,2.45
50.35049676,8.309271071,90,120,11.2,2.44,0.45,0.64,98,29.5,46,37,2.44
50.35049676,8.309271071,90,120,11.2,2.44,0.45,0.64,98,30,54,40.4,2.65
50.35049676,8.309271071,90,120,11.2,2.44,0.45,0.64,98,30,51,41.1,2.9
50.35049676,8.309271071,7,43.87039877,11.2,2.44,0.45,0.64,87,27,57,18.6,1.43
50.35049676,8.309271071,7,43.87039877,11.2,2.44,0.45,0.64,87,26,47,12.9,1.03
50.35049676,8.309271071,7,43.87039877,11.2,2.44,0.5,0.83,87,28,52,13.3,0.98
50.35049676,8.309271071,7,43.87039877,11.2,2.44,0.5,0.83,87,27,42,9.6,0.71
50.35049676,8.309271071,7,40,13,2.68,0.5,0.83,89,36,9,15.5,0.79
50.35049676,8.309271071,7,40,13,2.68,0.5,1,88,36,9,11.9,0.72
50.35049676,8.309271071,7,40,13,2.68,0.5,1.11,88,36,9,9.3,0.61
50.35049676,8.309271071,7,40,11.2,2.44,0.5,0.83,103,36,9,11.6,0.9
50.35049676,8.309271071,7,40,11.2,2.44,0.5,1,102,36,9,9.2,0.72
50.35049676,8.309271071,7,40,11.2,2.44,0.5,1.11,102,36,9,7.8,0.65
50.35049676,8.309271071,28,43.87039877,11.2,2.44,0.45,0.64,87,27,57,29.8,2.23
50.35049676,8.309271071,28,43.87039877,11.2,2.44,0.45,0.64,87,26,47,22.3,1.56
50.35049676,8.309271071,28,43.87039877,11.2,2.44,0.5,0.83,87,28,52,23.5,1.73
50.35049676,8.309271071,28,43.87039877,11.2,2.44,0.5,0.83,87,27,42,18,1.46
50.35049676,8.309271071,28,40,13,2.68,0.5,0.83,89,36,9,23.6,2.04
50.35049676,8.309271071,28,40,13,2.68,0.5,1,88,36,9,21.5,1.8
50.35049676,8.309271071,28,40,13,2.68,0.5,1.11,88,36,9,19.9,1.62
50.35049676,8.309271071,28,40,11.2,2.44,0.5,0.83,103,36,9,21.6,1.96
50.35049676,8.309271071,28,40,11.2,2.44,0.5,1,102,36,9,20,1.69
50.35049676,8.309271071,28,40,11.2,2.44,0.5,1.11,102,36,9,18.5,1.53
50.35049676,8.309271071,90,40,13,2.68,0.5,0.83,89,36,9,32.8,2.2
50.35049676,8.309271071,90,40,13,2.68,0.5,1,88,36,9,28,2.12
50.35049676,8.309271071,90,40,13,2.68,0.5,1.11,88,36,9,25.5,2.1
50.35049676,8.309271071,90,40,11.2,2.44,0.5,0.83,103,36,9,29.8,2.52
50.35049676,8.309271071,90,40,11.2,2.44,0.5,1,102,36,9,27.8,2.18
50.35049676,8.309271071,90,40,11.2,2.44,0.5,1.11,102,36,9,26.9,1.95
50.35049676,8.309271071,28,80,10.8,2.42,0.45,0.64,98,30,33,28.8,1.71
50.35049676,8.309271071,28,80,12.4,2.57,0.45,0.64,95,31,40,30.6,1.99
50.35049676,8.309271071,28,120,10.8,2.42,0.55,0.92,88,27,42,14.7,1.1
50.35049676,8.309271071,28,120,12.4,2.57,0.55,0.92,85,28,45,20.2,1.43
50.35049676,8.309271071,90,80,10.8,2.42,0.45,0.64,98,30,33,41.3,2.33
50.35049676,8.309271071,90,80,12.4,2.57,0.45,0.64,95,31,40,44,3
50.35049676,8.309271071,90,120,10.8,2.42,0.55,0.92,88,27,42,24.8,1.8
50.35049676,8.309271071,90,120,12.4,2.57,0.55,0.92,85,28,45,30.9,2.26
62.4,8.4,7,40,11.9,2.86,0.5,0.83,87,36.30361842,9,15.5,0.79
62.4,8.4,7,40,11.9,2.86,0.5,1,87,36.30361842,9,11.9,0.72
62.4,8.4,7,40,11.9,2.86,0.5,1.11,87,36.30361842,9,9.3,0.61
62.4,8.4,7,40,11.9,2.86,0.5,1.11,87,36.30361842,9,7.5,0.6
62.4,8.4,7,40,11.9,2.86,0.5,1.25,87,36.30361842,9,7.8,0.47
62.4,8.4,7,40,11.9,2.86,0.5,1.43,87,36.30361842,9,5.8,0.46
62.4,8.4,7,40,6.1,2.92,0.5,0.83,101,36.30361842,9,11.6,0.9
62.4,8.4,7,40,6.1,2.92,0.5,1,101,36.30361842,9,9.2,0.72
62.4,8.4,7,40,6.1,2.92,0.5,1.11,101,36.30361842,9,7.8,0.65
62.4,8.4,7,60,11.9,2.86,0.5,0.83,74,36.30361842,9,14,1.18
62.4,8.4,7,60,11.9,2.86,0.5,1,74,36.30361842,9,12.5,0.84
62.4,8.4,7,60,11.9,2.86,0.5,1.11,74,36.30361842,9,9.2,0.62
62.4,8.4,7,60,11.9,2.86,0.5,1.25,74,36.30361842,9,8.3,0.57
62.4,8.4,7,60,11.9,2.86,0.5,1.43,74,36.30361842,9,6.9,0.56
62.4,8.4,7,80,11.9,2.86,0.5,0.83,70,36.30361842,9,15.2,0.96
62.4,8.4,7,80,11.9,2.86,0.5,1,70,36.30361842,9,12.9,0.86
62.4,8.4,7,80,11.9,2.86,0.5,1.11,70,36.30361842,9,10.3,0.65
62.4,8.4,7,80,11.9,2.86,0.5,1.11,70,36.30361842,9,9,0.64
62.4,8.4,7,80,11.9,2.86,0.5,1.25,70,36.30361842,9,7.4,0.52
62.4,8.4,7,80,11.9,2.86,0.5,1.43,70,36.30361842,9,4.8,0.35
62.4,8.4,7,80,6.1,2.92,0.5,0.83,81,36.30361842,9,12.4,0.96
62.4,8.4,7,80,6.1,2.92,0.5,1,81,36.30361842,9,9.2,0.72
62.4,8.4,7,80,6.1,2.92,0.5,1.11,81,36.30361842,9,6.8,0.55
62.4,8.4,7,80,6.1,2.92,0.5,1.25,81,36.30361842,9,6.5,0.54
62.4,8.4,7,80,6.1,2.92,0.5,1.43,81,36.30361842,9,6.8,0.54
62.4,8.4,28,40,11.9,2.86,0.5,0.83,87,36.30361842,9,23.6,2.04
62.4,8.4,28,40,11.9,2.86,0.5,1,87,36.30361842,9,21.5,1.8
62.4,8.4,28,40,11.9,2.86,0.5,1.11,87,36.30361842,9,19.9,1.62
62.4,8.4,28,40,11.9,2.86,0.5,1.11,87,36.30361842,9,13.2,1.13
62.4,8.4,28,40,11.9,2.86,0.5,1.25,87,36.30361842,9,15.9,1.4
62.4,8.4,28,40,11.9,2.86,0.5,1.43,87,36.30361842,9,11.3,1.08
62.4,8.4,28,40,6.1,2.92,0.5,0.83,101,36.30361842,9,21.6,1.96
62.4,8.4,28,40,6.1,2.92,0.5,1,101,36.30361842,9,20,1.69
62.4,8.4,28,40,6.1,2.92,0.5,1.11,101,36.30361842,9,18.5,1.53
62.4,8.4,28,60,11.9,2.86,0.5,0.83,74,36.30361842,9,24.5,2.18
62.4,8.4,28,60,11.9,2.86,0.5,1,74,36.30361842,9,21.4,1.63
62.4,8.4,28,60,11.9,2.86,0.5,1.11,74,36.30361842,9,19.6,1.26
62.4,8.4,28,60,11.9,2.86,0.5,1.25,74,36.30361842,9,16.9,1.09
62.4,8.4,28,60,11.9,2.86,0.5,1.43,74,36.30361842,9,13.2,1.02
62.4,8.4,28,80,11.9,2.86,0.5,0.83,70,36.30361842,9,24.1,2.1
62.4,8.4,28,80,11.9,2.86,0.5,1,70,36.30361842,9,21.5,1.8
62.4,8.4,28,80,11.9,2.86,0.5,1.11,70,36.30361842,9,20.1,1.6
62.4,8.4,28,80,11.9,2.86,0.5,1.11,70,36.30361842,9,16.2,1.46
62.4,8.4,28,80,11.9,2.86,0.5,1.25,70,36.30361842,9,14.9,1.45
62.4,8.4,28,80,11.9,2.86,0.5,1.43,70,36.30361842,9,10.1,1.08
62.4,8.4,28,80,6.1,2.92,0.5,0.83,81,36.30361842,9,21.8,1.92
62.4,8.4,28,80,6.1,2.92,0.5,1,81,36.30361842,9,18.9,1.42
62.4,8.4,28,80,6.1,2.92,0.5,1.11,81,36.30361842,9,14,1.06
62.4,8.4,28,80,6.1,2.92,0.5,1.25,81,36.30361842,9,13.5,1.11
62.4,8.4,28,80,6.1,2.92,0.5,1.43,81,36.30361842,9,12.9,1.16
62.4,8.4,90,40,11.9,2.86,0.5,0.83,87,36.30361842,9,32.8,2.2
62.4,8.4,90,40,11.9,2.86,0.5,1,87,36.30361842,9,28,2.12
62.4,8.4,90,40,11.9,2.86,0.5,1.11,87,36.30361842,9,25.5,2.1
62.4,8.4,90,40,11.9,2.86,0.5,1.11,87,36.30361842,9,24.4,2.09
62.4,8.4,90,40,11.9,2.86,0.5,1.25,87,36.30361842,9,22.9,2.05
62.4,8.4,90,40,11.9,2.86,0.5,1.43,87,36.30361842,9,20.8,1.99
62.4,8.4,90,40,6.1,2.92,0.5,0.83,101,36.30361842,9,29.8,2.52
62.4,8.4,90,40,6.1,2.92,0.5,1,101,36.30361842,9,27.8,2.18
62.4,8.4,90,40,6.1,2.92,0.5,1.11,101,36.30361842,9,26.9,1.95
62.4,8.4,90,60,11.9,2.86,0.5,0.83,74,36.30361842,9,34.6,2.88
62.4,8.4,90,60,11.9,2.86,0.5,1,74,36.30361842,9,27.9,2.29
62.4,8.4,90,60,11.9,2.86,0.5,1.11,74,36.30361842,9,24.3,2.08
62.4,8.4,90,60,11.9,2.86,0.5,1.25,74,36.30361842,9,23.5,1.93
62.4,8.4,90,60,11.9,2.86,0.5,1.43,74,36.30361842,9,22.5,1.8
62.4,8.4,90,80,11.9,2.86,0.5,0.83,70,36.30361842,9,33.4,2.45
62.4,8.4,90,80,11.9,2.86,0.5,1,70,36.30361842,9,30.1,2.2
62.4,8.4,90,80,11.9,2.86,0.5,1.11,70,36.30361842,9,29.1,2.13
62.4,8.4,90,80,11.9,2.86,0.5,1.11,70,36.30361842,9,21.5,1.9
62.4,8.4,90,80,11.9,2.86,0.5,1.25,70,36.30361842,9,20.2,2.05
62.4,8.4,90,80,11.9,2.86,0.5,1.43,70,36.30361842,9,17.5,1.87
62.4,8.4,90,80,6.1,2.92,0.5,0.83,81,36.30361842,9,30.2,2.49
62.4,8.4,90,80,6.1,2.92,0.5,1,81,36.30361842,9,28.2,2.21
62.4,8.4,90,80,6.1,2.92,0.5,1.11,81,36.30361842,9,27.7,2.1
62.4,8.4,90,80,6.1,2.92,0.5,1.25,81,36.30361842,9,27,2.01
62.4,8.4,90,80,6.1,2.92,0.5,1.43,81,36.30361842,9,26.5,2
50.35049676,8.309271071,7,80,6,2.68,0.5,0.67,104,30,50,15.2,1.44
50.35049676,8.309271071,7,80,9,2.68,0.5,0.67,112,30,48,15.2,1.56
50.35049676,8.309271071,7,80,12,2.68,0.5,0.67,114,30,50,16.4,1.59
50.35049676,8.309271071,7,80,15,2.68,0.5,0.67,115,30,40,18.5,1.5
50.35049676,8.309271071,7,80,18,2.68,0.5,0.67,117,30,44,16.2,1.62
50.35049676,8.309271071,7,80,15,2.68,0.5,0.67,110,30,36,18.2,1.7
50.35049676,8.309271071,7,80,15,2.68,0.5,0.67,108,30,49,15.8,1.58
50.35049676,8.309271071,7,80,9,2.68,0.5,0.593051136,111,30,41,16.6,1.54
50.35049676,8.309271071,7,80,6,2.68,0.5,0.593051136,112,30,50,17.2,1.58
50.35049676,8.309271071,28,80,6,2.68,0.5,0.67,104,30,50,22.6,2.49
50.35049676,8.309271071,28,80,9,2.68,0.5,0.67,112,30,48,26.2,2.33
50.35049676,8.309271071,28,80,12,2.68,0.5,0.67,114,30,50,24.2,2.36
50.35049676,8.309271071,28,80,15,2.68,0.5,0.67,115,30,40,27.3,2.75
50.35049676,8.309271071,28,80,18,2.68,0.5,0.67,117,30,44,26.7,2.76
50.35049676,8.309271071,28,80,15,2.68,0.5,0.67,110,30,36,26.5,2.48
50.35049676,8.309271071,28,80,15,2.68,0.5,0.67,108,30,49,23.1,2.27
50.35049676,8.309271071,28,80,9,2.68,0.5,0.593051136,111,30,41,28.2,2.97
50.35049676,8.309271071,28,80,6,2.68,0.5,0.593051136,112,30,50,30.2,2.9
50.35049676,8.309271071,90,80,6,2.68,0.5,0.67,104,30,50,29.9,3.54
50.35049676,8.309271071,90,80,9,2.68,0.5,0.67,112,30,48,32,3.42
50.35049676,8.309271071,90,80,12,2.68,0.5,0.67,114,30,50,33,3.18
50.35049676,8.309271071,90,80,15,2.68,0.5,0.67,115,30,40,37.9,3.15
50.35049676,8.309271071,90,80,18,2.68,0.5,0.67,117,30,44,37.1,3.21
50.35049676,8.309271071,90,80,15,2.68,0.5,0.67,110,30,36,34.8,3.18
50.35049676,8.309271071,90,80,15,2.68,0.5,0.67,108,30,49,34.2,2.69
50.35049676,8.309271071,90,80,9,2.68,0.5,0.593051136,111,30,41,32.6,3.14
50.35049676,8.309271071,90,80,6,2.68,0.5,0.593051136,112,30,50,39.6,3.11
52.9,8.4,7,80,15,2.8,0.5,0.67,104,30,44,20.4,1.61
52.9,8.4,7,80,15,2.8,0.5,0.67,108,30,49,19.9,1.57
52.9,8.4,7,80,15,2.8,0.5,0.67,110,30,36,19.2,1.53
52.9,8.4,7,80,15,2.8,0.5,0.67,114,30,45,18.4,1.5
52.9,8.4,7,80,15,2.8,0.5,0.67,115,30,40,18.4,1.5
52.9,8.4,28,80,15,2.8,0.5,0.67,104,30,44,29.7,3.04
52.9,8.4,28,80,15,2.8,0.5,0.67,108,30,49,29.7,3.02
52.9,8.4,28,80,15,2.8,0.5,0.67,110,30,36,28.5,2.91
52.9,8.4,28,80,15,2.8,0.5,0.67,114,30,45,27.4,2.84
52.9,8.4,28,80,15,2.8,0.5,0.67,115,30,40,27.1,2.75
52.9,8.4,90,80,15,2.8,0.5,0.67,104,30,44,40.9,3.43
52.9,8.4,90,80,15,2.8,0.5,0.67,108,30,49,40.2,3.37
52.9,8.4,90,80,15,2.8,0.5,0.67,110,30,36,39.4,3.26
52.9,8.4,90,80,15,2.8,0.5,0.67,114,30,45,38.3,3.19
52.9,8.4,90,80,15,2.8,0.5,0.67,115,30,40,37.5,3.15
39.42,8.309271071,7,12,19.2,2.933439065,0.37,0.65,178.75,53,80.26760563,26.56,1.92
39.42,8.309271071,28,12,19.2,2.933439065,0.37,0.65,178.75,53,80.26760563,33.12,2.34
39.42,8.309271071,90,12,19.2,2.933439065,0.37,0.65,178.75,53,80.26760563,39.94,3.32
39.42,8.309271071,7,12,19.2,2.933439065,0.34,0.55,178.75,53,80.26760563,32.17,2.67
39.42,8.309271071,28,12,19.2,2.933439065,0.34,0.55,178.75,53,80.26760563,40.49,3.03
39.42,8.309271071,90,12,19.2,2.933439065,0.34,0.55,178.75,53,80.26760563,49.7,3.68
48.07,8.309271071,7,12,19.2,2.933439065,0.34,0.55,178.75,53,80.26760563,43.15,2.9
48.07,8.309271071,28,12,19.2,2.933439065,0.34,0.55,178.75,53,80.26760563,49.26,3.12
48.07,8.309271071,90,12,19.2,2.933439065,0.34,0.55,178.75,53,80.26760563,63.7,4.1
48.07,8.309271071,7,12,19.2,2.933439065,0.31,0.45,180,53,80.26760563,55.85,3.85
48.07,8.309271071,28,12,19.2,2.933439065,0.31,0.45,180,53,80.26760563,63.72,3.86
48.07,8.309271071,90,12,19.2,2.933439065,0.31,0.45,180,53,80.26760563,79.17,4.19
39.42,8.309271071,7,12,19.2,2.933439065,0.4,0.65,178.75,54,145,28,2.22
39.42,8.309271071,28,12,19.2,2.933439065,0.4,0.65,178.75,54,145,35.47,3.34
39.42,8.309271071,90,12,19.2,2.933439065,0.4,0.65,178.75,54,145,44.25,3.47
39.42,8.309271071,7,12,19.2,2.933439065,0.36,0.55,178.75,54,135,33.42,2.31
39.42,8.309271071,28,12,19.2,2.933439065,0.36,0.55,178.75,54,135,41.43,3.52
39.42,8.309271071,90,12,19.2,2.933439065,0.36,0.55,178.75,54,135,52.35,3.98
48.07,8.309271071,7,12,19.2,2.933439065,0.36,0.55,178.75,54,140,42.97,3.61
48.07,8.309271071,28,12,19.2,2.933439065,0.36,0.55,178.75,54,140,46.85,4.25
48.07,8.309271071,90,12,19.2,2.933439065,0.36,0.55,178.75,54,140,60.65,4.59
48.07,8.309271071,7,12,19.2,2.933439065,0.32,0.45,180,54,140,47.71,3.75
48.07,8.309271071,28,12,19.2,2.933439065,0.32,0.45,180,54,140,65.37,4.69
48.07,8.309271071,90,12,19.2,2.933439065,0.32,0.45,180,54,140,73.7,4.76
